MULTIPLIER,BRAND,BRAND_BELONGS_TO_CATEGORY,RECEIPTS
,great brewers,beer,25
,hayes ranch,wine,25
,myerss rum,spirits,25
,busty lush,beer,25
,konig pilsener,beer,25
,idoniko,spirits,25
,ambi,skin care,25
,arnold palmer spiked half and half,malt beverages,25
,snowball,spirits,25
,fegleys brewworks,beer,25
,sweet grass vodka,spirits,25
,peanuts,bath  body,25
,lan xtreme,wine,25
,laughing glass,spirits,25
,ignacio marin,wine,25
,eco max,bath  body,25
,yards variety pack,beer,25
,aplanta,wine,25
,left foot charley,wine,25
,castle danger brewery,beer,25
,miami brewing co,beer,25
,6 bears and a goat,beer,25
,excelsior,wine,25
,villa degli olmi,wine,25
,barr hill,spirits,25
,lagar da condesa,wine,25
,clif thins,crackers,25
,yuzu bay,wine,25
,cascadian farm,frozen vegetables,25
,shirakabe gura,wine,25
,chi chis,dips  salsa,25
,perfect snacks,fruit  vegetable snacks,25
,a2dc,spirits,25
,progresso,sauces  marinades,25
,breckenridge good company,malt beverages,25
,charter 101,spirits,25
,bala perdida,wine,25
,cicada,wine,24
,poncho villa,beer,24
,fullsteam brewery,beer,24
,independence brewing co,beer,24
,rxbar,nuts  seeds,24
,watershed distillery,spirits,24
,o organics,cereal granola  toaster pastries,24
,mccormick,packaged meat,24
,vikre,wine,24
,blue point variety pack,beer,24
,chateau castagnac,wine,24
,motor city brewing works,beer,24
,mikes hard tea,malt beverages,24
,urban chestnut urban seltzer variety pack,malt beverages,24
,bertolli,red pasta sauce,24
,blood oath,spirits,24
,sheba,frozen turkey,24
,abnormal,beer,24
,blue buffalo,packaged seafood,24
,masia de la luz,wine,24
,peabody heights brewery,beer,24
,grand traverse distillery,spirits,24
,nabisco honey maid,crackers,24
,murray hill club,spirits,24
,dunkaroos other,cereal granola  toaster pastries,24
,untitled art and angry chair brewing,beer,24
,brass foundry cream ale,beer,24
,translations,wine,24
,beechnut,cookies,24
,redneck riviera,spirits,24
,bauhaus bolo dragonfruit hard seltzer,fruit  vegetable snacks,24
,libbys,packaged meat,24
,inbound super g lovshake milkshake ipa,beer,24
,mahatma,rice  grains,24
,zapps,chips,24
,duck walk vineyards,wine,24
,delicias gourmet carmelita,spirits,24
,company brewing,beer,24
,sutter home fre,wine,24
,bacio de bolle,wine,24
,ship bottom,fruit juices,24
,napa by napa,wine,24
,tuyo,spirits,24
,sirop trading co,drink mixes,24
,podhalanska cytrynowka,spirits,24
,housatonic river brewing,beer,24
,mcalisters deli,frozen turkey,24
,crazy about love,wine,24
,collet,wine,24
,sommariva,wine,24
,ospreys dominion,wine,24
,bristols,beer,24
,gold spot,spirits,24
,whetu,wine,24
,christian w klay winery,wine,24
,kodiak cakes,nut butters  jam,24
,key west,beer,24
,greenwise,fresh pasta,24
,highland brewing,beer,24
,la grow beer co,beer,24
,los conejos malditos,wine,24
,yobo soju,spirits,24
,gentle ben,spirits,24
,broadbent,wine,24
,betty crocker,frozen sides,24
,jks,fruit juices,24
,eleven lakes brewing co,beer,24
,lost draw,wine,24
,castellani,wine,24
,dawn plus hand care,bath  body,24
,santa julia,wine,24
,1623 brewing co,beer,24
,guerrero,packaged meals  sides,24
,juicy mixes crush,drink mixes,24
,wicked dolphin,spirits,24
,armada savage queen double ipa,beer,24
,wild turkey 101,spirits,24
,saint liberty,spirits,24
,cherries and rainbows,wine,24
,hiram walker,spirits,24
,sensei,wine,24
,hauenstein,beer,24
,ommegang brewery,beer,24
,argiano,wine,24
,widmer brothers sunlife,beer,24
,fairweather cider co,fruit juices,24
,alcon,eye care,24
,buffalo bayou brewing co,beer,24
,vanilla puddin,wine,24
,unshackled,wine,24
,danica,wine,24
,barons,spirits,24
,tox brewing co,beer,24
,smithworks hard seltzer,hard seltzers sodas waters lemonades  teas,24
,sawtooth,wine,24
,door county distillery,spirits,24
,brita,water,24
,simple,makeup,24
,barkan,wine,24
,jean marc barthez,wine,24
,lokita,spirits,24
,thomas,bakery,24
,rachael ray nutrish,medicines  treatments,24
,rush river,beer,24
,stroehmann bread,bread,24
,dinkelacker,beer,24
,mke brewing co,beer,24
,revelry brewing,beer,24
,kashi,crackers,24
,hormel,deli counter,24
,firefly hollow,beer,24
,crystal springs brewing company,beer,24
,ferrari,wine,24
,hotkid,baby bathing,24
,nugo,nuts  seeds,24
,villa san giovanni,wine,24
,mccormick,cooking  baking,24
,sweetens cove,spirits,24
,milk bar,cookies,24
,suerte,spirits,24
,weingut eifel pfeiffer,wine,24
,cerebelly,baby bathing,24
,marrobone,cooking  baking,24
,shannon brewing co,beer,24
,sophias,spirits,24
,martinellis gold medal,fruit juices,24
,54 40 beer,beer,24
,lil drugstore aleve,medicines  treatments,24
,cleto chiarli,wine,24
,claffeys,wine,24
,tassos,drink mixes,23
,tequila rose,spirits,23
,xavier v,spirits,23
,kodiak graham bear bites,crackers,23
,cmapbiu menbhuk,beer,23
,mother stewarts,beer,23
,meukow xo,spirits,23
,blackbird cider works,fruit juices,23
,texas ale project,beer,23
,tajin,cooking  baking,23
,city gate spirits,spirits,23
,original pattern brewing company,beer,23
,voudoux,spirits,23
,prairie pineapple upside down cake sour ale,beer,23
,anthem super fancy apple saison,beer,23
,headbanger,spirits,23
,kate arnold,wine,23
,arak touma,spirits,23
,jesse james,spirits,23
,lapostolle,wine,23
,karbach brewing company,beer,23
,castle island,beer,23
,code,spirits,23
,pala,wine,23
,lexington charismatic golden pilsner,beer,23
,perla rosado,wine,23
,jwilkes,wine,23
,nut harvest,snack mixes,23
,lupulin oktoberfest marzen style lager,beer,23
,kuro yokaichi imo,spirits,23
,penn variety pack,beer,23
,naked river naked light pilsner,beer,23
,mio,fruit juices,23
,tromba,spirits,23
,antigal,wine,23
,steel reserve,beer,23
,nowhere in particular,beer,23
,rare barrel blend,wine,23
,adelberts brewery,beer,23
,honeoye falls distillery,spirits,23
,davidson reserve,spirits,23
,station 26 brewing co,beer,23
,black knight,wine,23
,gamle ode,spirits,23
,charles leonard,makeup,23
,whiskey 43,spirits,23
,leap,spirits,23
,bambucha kombucha,malt beverages,23
,luccio,wine,23
,kizakuras,beer,23
,cellar 115,wine,23
,yazoo pleasure chest variety pack,beer,23
,mannys three faces,wine,23
,next round cocktails,wine,23
,number twelve cider,fruit juices,23
,bandero,spirits,23
,ofallon brewery,beer,23
,barton reserve,spirits,23
,georgi,spirits,23
,fuzzys,spirits,23
,lift bridge elevated amber ale,beer,23
,pb  w,spirits,23
,hungbloodies,drink mixes,23
,grand hotel mackinac island,wine,23
,henrys,malt beverages,23
,hamburger helper,pasta  noodles,23
,flying dog thunderpeel hazy ipa,beer,23
,mocktail club,drink mixes,23
,newvana,drink mixes,23
,zolo,wine,23
,shadow puppet brewing company,beer,23
,heritage,spirits,23
,southern prohibition brewing,beer,23
,bright house,household supplies,23
,nesher,malt beverages,23
,lodali,wine,23
,wasserhund brewing company,beer,23
,twisted x brewing co,beer,23
,vlasic,pickled goods,23
,brau brothers brewing co,beer,23
,old williamsburg,spirits,23
,zing zang rtd,spirits,23
,indeed brewing company,beer,23
,alternativa 00,wine,23
,hollows and fentimans,malt beverages,23
,radio boca,wine,23
,hilton head,spirits,23
,la roche posay,skin care,23
,hidden legend,wine,23
,beak  skiff 1911 variety pack,fruit juices,23
,malta polar,beer,23
,old forester,drink mixes,23
,dennisons,soup  broth,23
,geaghan brothers variety pack,beer,23
,calvet,wine,23
,damnation,beer,23
,alvear,wine,23
,fonta flora brewery,beer,23
,mo sisters,wine,23
,pennsylvania brewing company,beer,23
,tullia,wine,23
,sibling revelry brewing seasonal,beer,23
,santa barbara olive co,drink mixes,23
,roni,cooking  baking,23
,veterano,spirits,23
,chateau les riganes,wine,23
,canadian peak,spirits,23
,mikes hard seasonal,malt beverages,23
,2 gingers,spirits,23
,diseno,wine,23
,alto medrano,wine,23
,grove co,household cleaning supplies,23
,illuminated brew works,beer,23
,spiteful,beer,23
,paul jaboulet aine,wine,23
,herradura,spirits,23
,fattys,beer,23
,blue valley,wine,23
,iq bar,nuts  seeds,22
,christina,wine,22
,bhramari,beer,22
,tres agaves,spirits,22
,pillsbury,frozen desserts,22
,ponderosa valley vineyards,wine,22
,alewerks,beer,22
,signature select,chips,22
,relic,beer,22
,shake n bake,cooking  baking,22
,biomiracle,bath  body,22
,munkle brewing co,beer,22
,piping rock,spirits,22
,99 root beer,spirits,22
,tullamore dew,spirits,22
,flying bison pair of bison variety pack,beer,22
,zony mash,beer,22
,casa de uco,wine,22
,sparkling ice spiked,malt beverages,22
,hoffmans,eggs,22
,magic hat seasonal,beer,22
,c2o,fruit juices,22
,lockhorn,fruit juices,22
,julias table,bakery,22
,azteca,spirits,22
,earthgrown,wine,22
,puerto angel,spirits,22
,foro,wine,22
,butchs,frozen pizza  pizza snacks,22
,epic tropical tart n juicy ipa,beer,22
,del cielo brewing co,beer,22
,zubrowka biala,spirits,22
,eel river brewing co,beer,22
,madria sangria,wine,22
,scuttlebutt brewing company,beer,22
,aromo,wine,22
,gagliano,spirits,22
,sprecher wi old fashioned press hard seltzer,hard seltzers sodas waters lemonades  teas,22
,13 stripes brewery,beer,22
,eat heads,beer,22
,shortbread,wine,22
,redneck riviera,wine,22
,san juan seltzer,malt beverages,22
,temptations,cookies,22
,tucker brewing company,beer,22
,mothers sunshine chugsuckle new england ipa,beer,22
,cutwater spirits fugu,spirits,22
,bloody gerry,drink mixes,22
,western collective,beer,22
,marika,wine,22
,fid street,spirits,22
,la fille du boucher,wine,22
,sir kensingtons,dressings,22
,izzio,bread,22
,attems,wine,22
,canasta,wine,22
,green hat,spirits,22
,lvz millar,wine,22
,les vignes de bila haut,wine,22
,spirits of french lick,spirits,22
,brewdog hawkes slam funk hard apple cider,fruit juices,22
,village pub,frozen pizza  pizza snacks,22
,coastal rose spritz,wine,22
,odd13 brewing,beer,22
,la chouffe,beer,22
,daniels,wine,22
,azienda agricola cavazza,wine,22
,domaine bousquet lalande,wine,22
,nixta,spirits,22
,old ox brewery,beer,22
,rose denfer,wine,22
,jacquins,spirits,22
,dr l,wine,22
,corsendonk,beer,22
,suffolk punch brewing,beer,22
,louis m martini,wine,22
,sancerre,wine,22
,tates bake shop,cookies,22
,pulpy,wine,22
,the bitter truth,drink mixes,22
,kigen,wine,22
,texas keeper,fruit juices,22
,heaven sake,wine,22
,signature select,dry pasta,22
,cruz blanca brewing,beer,22
,downeast,fruit juices,22
,del monte,packaged fruit  applesauce,22
,megasport,water,22
,san polo,wine,22
,bier brewery,beer,22
,southern living,cooking  baking,22
,federation brewing,beer,22
,sup hard seltzer liquid collective llc,hard seltzers sodas waters lemonades  teas,22
,omni time machine ipa,beer,22
,topo chico spirited,spirits,22
,festivo,wine,22
,noel de calabaza,beer,22
,dupont,beer,22
,shebeen brewing company,beer,22
,isley brewing company,beer,22
,zarpado,spirits,22
,private selection,fruit juices,22
,bradshaw,spirits,22
,cockspur,spirits,22
,truray,household supplies,22
,precision foods land o lakes,drink mixes,22
,bacio di bolle,wine,22
,julius lehrkind i ll be your huckleberry lem,fruit juices,22
,gerard bertrand art de vivre,wine,22
,duc de valmer,wine,22
,copper peak,spirits,22
,sharpie,makeup,22
,perfect bar,yogurt,22
,karbach ultimate party pack variety pack,beer,22
,neethlingshof,wine,21
,cognac frapin,spirits,21
,bayern seasonal,beer,21
,cinder block,beer,21
,ajax,household cleaning supplies,21
,brazos valley brewing company,beer,21
,signature select,red pasta sauce,21
,masahiro,spirits,21
,dragon xo,spirits,21
,wonder flowers,bread,21
,warsteiner,beer,21
,combos,pretzels,21
,dulceria piloto,drink mixes,21
,roth,wine,21
,neirano,wine,21
,bougie,wine,21
,excel brewing company,beer,21
,la caliera,wine,21
,duclaw brewing co,beer,21
,goya,frozen seafood,21
,mr beer home brewing,beer,21
,stillwater artisanal,beer,21
,woody creek,spirits,21
,disaronno limited edition,spirits,21
,nine pin light cider variety pack,fruit juices,21
,lost giants,fruit juices,21
,white claw,hard seltzers sodas waters lemonades  teas,21
,full circle,chips,21
,les martinieres,wine,21
,partake,cookies,21
,efes,beer,21
,h2roads,malt beverages,21
,mocama,beer,21
,antiquity blue,spirits,21
,bakfish brewing co,beer,21
,gilde,beer,21
,rhinegeist night whale imperial stout,beer,21
,bellisio foods,frozen meals,21
,miller 64 light,beer,21
,fox hill meadery,wine,21
,99 mangoes,spirits,21
,keg creek brewing co,beer,21
,dry point distillers,spirits,21
,key food,bath  body,21
,davidoff,spirits,21
,substance,wine,21
,america fresh,bath  body,21
,henkell,wine,21
,martinique clement,spirits,21
,peak organic brewing co,beer,21
,bluet,wine,21
,blackwell,spirits,21
,kombrewcha,malt beverages,21
,cvp,household supplies,21
,tommyknocker,beer,21
,cantina gabriele,wine,21
,altos de tamaron,wine,21
,mingle mocktails,drink mixes,21
,hofbrau munchen variety pack,beer,21
,opolo,wine,21
,alto moncayo,wine,21
,wolfburn,spirits,21
,baja michela,drink mixes,21
,masaccio,wine,21
,proper brewing proper beer english style gol,beer,21
,lumami,wine,21
,martha white,frozen pizza  pizza snacks,21
,lairds,spirits,21
,pisano,wine,21
,herzog,wine,21
,lillet,spirits,21
,fj,spirits,21
,clover hill,wine,21
,windhoek,beer,21
,erdinger pikantus,beer,21
,lini 910,wine,21
,nest,diapering,21
,caboo,household supplies,21
,august hill winery,wine,21
,shankys whip,spirits,21
,pabst ice draft,beer,21
,charleston,drink mixes,21
,walker and sons slap ya mama,drink mixes,21
,wurzburger hofbrau,beer,21
,second line,beer,21
,nonino,spirits,21
,creyente,spirits,21
,wisconsins drink,drink mixes,21
,lupo meraviglia,wine,21
,ommegang,fruit juices,21
,gentleman jack,spirits,21
,square one,drink mixes,21
,yonder,fruit juices,21
,kent falls brewing co,beer,21
,gator bite,spirits,21
,tolaini,wine,21
,temperance beer co,beer,21
,big shot,wine,21
,brooklyn,malt beverages,21
,robert mondavi private selection,wine,21
,mahina,spirits,21
,rj reynolds vapor,tobacco products,21
,not your fathers lemonade,malt beverages,21
,hatch,spirits,21
,fish tale ales,beer,21
,old pepper rye,spirits,21
,natures path organic,cereal granola  toaster pastries,21
,quilmes,spirits,21
,101 cider house,fruit juices,21
,red clay brewing co,beer,21
,armadillo ale works,beer,21
,campbells well yes,soup  broth,21
,gekkeikan,wine,21
,bomond,spirits,21
,cotswolds,spirits,21
,rem naturalorganic brands,bath  body,21
,gobstopper,candy,21
,right coast spirits,spirits,21
,e cuarenta,spirits,21
,vivvi  bloom,hair care,21
,michael waltrip,beer,21
,immaculate baking co,cookies,21
,sudwerk brewing co,beer,21
,tiny maxi,wine,21
,big tomato,wine,21
,pinta negra,wine,21
,lost worlds brewing,beer,21
,arrogant brewing,beer,21
,skyy infusions,spirits,21
,frutero,frozen fruits,20
,chairmans reserve,spirits,20
,baby love,baby bathing,20
,evolve,frozen turkey,20
,sacchetto,wine,20
,annies homegrown grocery other,condiments,20
,aveeno,baby bathing,20
,villa mt eden,wine,20
,broken shed,spirits,20
,pastene,wine,20
,swanson,soup  broth,20
,7 five,beer,20
,monopolowa,spirits,20
,oec,beer,20
,lazy magnolia brewing co,beer,20
,the olde mecklenburg capt jack pilsner,beer,20
,fizzy beez,spirits,20
,podrum pevac,spirits,20
,v8,fruit juices,20
,argonaut saloon strength,spirits,20
,port orleans brewing co,beer,20
,blue bell,frozen desserts,20
,mammoth brewing company,beer,20
,basic city beer co,beer,20
,ghost river,beer,20
,grolsch premium lager,beer,20
,crosstown brewing company,beer,20
,la banderita,cooking  baking,20
,vivvi  bloom,cooking  baking,20
,sinaloa,drink mixes,20
,nextstar,medicines  treatments,20
,medusa,beer,20
,perfect bar,cookies,20
,bas armagnac delord,spirits,20
,mr peabody,spirits,20
,frisse,wine,20
,barrel bomb,wine,20
,natures way,medicines  treatments,20
,boone county distilling co,spirits,20
,banded brewing,beer,20
,tangled roots,beer,20
,j navascues,wine,20
,squatters juicy ipa,beer,20
,art of pour,spirits,20
,amstel light,beer,20
,empyrean variety pack,beer,20
,pacific rim,wine,20
,arrow smackers,spirits,20
,ronzoni,dry pasta,20
,first street all american,spirits,20
,spiral townie kolsch style ale,beer,20
,ceria brewing company,beer,20
,mountain dew diet,carbonated soft drinks,20
,still 630 kshe 95 swine shine,spirits,20
,tonys,frozen pizza  pizza snacks,20
,almond breeze,milk,20
,karbach brewing co,beer,20
,heist brewery,beer,20
,jimmy dean,bread,20
,brita,household supplies,20
,geaghan brothers presque isle honey blonde a,beer,20
,burgkopf pils,beer,20
,fruit works,fruit  vegetable snacks,20
,annies homegrown grocery,bread,20
,purina,dog supplies,20
,mendoza station,wine,20
,tongue river winery,wine,20
,firestone walker crafted thru hops mixed pac,beer,20
,devils backbone schwartz bier style black la,beer,20
,fawn creek winery,wine,20
,contadi castaldi,wine,20
,old bay,beer,20
,sonoma springs brewing co,beer,20
,la yogurt,yogurt,20
,bel lago,wine,20
,castiglion del bosco,wine,20
,rough day,wine,20
,master of mixes,drink mixes,20
,fiore,adult incontinence,20
,gio,wine,20
,backwoods,spirits,20
,spritz,wine,20
,maple grove,cereal granola  toaster pastries,20
,soso,wine,20
,icon,wine,20
,santa marina,wine,20
,water works,beer,20
,gran centenario,spirits,20
,medaglia doro,coffee,20
,ingenious,beer,20
,sainte anne,wine,20
,arnold brownberry oroweat,bakery,20
,cascade lakes,beer,20
,pulque hacienda,wine,20
,bollinger,wine,20
,nubian heritage,bath  body,20
,hebrew,beer,20
,angry minnow,beer,20
,acclaimed,wine,20
,cayman jack,spirits,20
,evolution,vegetable juices,20
,el recuerdo de oaxaca,spirits,20
,hungry jack,cooking  baking,20
,bob evans,frozen,20
,zest,spirits,20
,great midwest,cheese,20
,wattie boone and sons,spirits,20
,mezcal buenbicho,spirits,20
,blackstone,wine,20
,live a little,wine,20
,oh what fun,wine,20
,ball park frank,frozen beef,20
,kroger,packaged vegetables,20
,southnorte,spirits,20
,snafu snafu tang sour ale,beer,20
,rael,feminine hygeine,20
,burgkopf beer,malt beverages,20
,bound determined,wine,20
,gallo,wine,20
,flo,wine,20
,lamberti,wine,20
,signature select,tea,20
,mo,wine,20
,drastic measures brewing,beer,20
,casa de valor,wine,20
,prego,pesto sauce,20
,ludington bay summer fling hefeweizen ale,beer,20
,sergeants,candy,20
,alkkemist,spirits,20
,lift bridge hard seltzer northwoods juice bo,fruit juices,20
,old forester birthday bourbon,spirits,19
,third shift band of brewers,beer,19
,round lake vineyards and winery,wine,19
,bike dog brewing co,beer,19
,ozeki sake,spirits,19
,harriotts hard lemonade,malt beverages,19
,norbrook farm brewery,beer,19
,esprit de fonrozay,wine,19
,protein one,nuts  seeds,19
,paperback,beer,19
,live oak brewing company,beer,19
,straight to ale,beer,19
,middle of the road,wine,19
,bertolli,cooking  baking,19
,mcclures,spirits,19
,amstel,beer,19
,ships wheel,fruit juices,19
,feather falls brewing company,beer,19
,capitol cider house,fruit juices,19
,home select,household supplies,19
,shire distilling co,spirits,19
,harahorn,spirits,19
,paul john,spirits,19
,witchs hat brewing co,beer,19
,primator,beer,19
,tamnavulin,spirits,19
,central waters brewing co,beer,19
,milwaukee light,beer,19
,tarantula spider bite,spirits,19
,vina marty,wine,19
,bootleggers brewery,beer,19
,altos las hormigas,wine,19
,sangre de vida,spirits,19
,matties perch,wine,19
,drumconrath brewing company,beer,19
,moletto,spirits,19
,thomas creek brewery,beer,19
,bira 91,beer,19
,bad granny mother load mixed pack variety pa,fruit juices,19
,the brew kettle and fifty west,beer,19
,cool cat,wine,19
,odd side ales,beer,19
,radley and finch,wine,19
,drakes denogginizer,beer,19
,humboldt cider co,fruit juices,19
,border city winery,wine,19
,bent river brewing company,beer,19
,novo brazil brewing co,beer,19
,asheville brewing,beer,19
,destillare,spirits,19
,cerveza zolupez fiesta sampler variety pack,beer,19
,knock on wood,wine,19
,hwayo,spirits,19
,lenny boy brewing co,beer,19
,chateau maycott,wine,19
,don benedicto,spirits,19
,with co,drink mixes,19
,barcelo,wine,19
,can xa,wine,19
,pink lace,wine,19
,chateau morrisette,wine,19
,gallo vermouth,wine,19
,far from the tree macachusetts hcfftt cider,fruit juices,19
,ex novo brewing company,beer,19
,the rum cooperative,spirits,19
,sunsweet,fruit  vegetable snacks,19
,bozal,spirits,19
,far from the tree,fruit juices,19
,trim tab brewing,beer,19
,talisker the distillers edition,spirits,19
,skyy melon,spirits,19
,sun bum,skin care,19
,red dog,beer,19
,brou czech,beer,19
,vina coterro,wine,19
,chalk hill,wine,19
,sparkling ice spiked hard seltzer strawberry,hard seltzers sodas waters lemonades  teas,19
,maison no 9,wine,19
,horny goat,beer,19
,willm,wine,19
,mandh,spirits,19
,forte do cego,wine,19
,win,wine,19
,sharps,beer,19
,happi foodi,frozen pizza  pizza snacks,19
,platform haze jude hazy ipa,beer,19
,helix,spirits,19
,four pillars,spirits,19
,grand love,spirits,19
,camp,wine,19
,vinho verde,wine,19
,este,wine,19
,1st special forces group,spirits,19
,suprema michelada,drink mixes,19
,chula vista,spirits,19
,crooked water,spirits,19
,vikre distillery co,wine,19
,rutherford road,wine,19
,rose sil vous plait,wine,19
,gr 174,wine,19
,blue apron,cooking  baking,19
,mikes,malt beverages,19
,singlespeed brewing,beer,19
,devils bathtub,spirits,19
,homare sake brewery co,wine,19
,dos artes,spirits,19
,brugal xv,spirits,19
,fritos,packaged meals  sides,19
,copper muse distillery,spirits,19
,ego bodegas goru verde,wine,19
,kradle,dog supplies,19
,wandering bard meadery,wine,19
,dolcino,wine,19
,founders ranch,wine,19
,dole foods,packaged vegetables,19
,arizona angel,wine,19
,politically correct,wine,19
,la fleur ribeyrolles,wine,19
,bauhaus freezebox mixed pack variety pack,beer,19
,beares originals,fruit juices,19
,kona big kahuna variety pack,beer,19
,lac coeur,spirits,19
,sandeman,wine,19
,townes vodka,spirits,19
,stormbreaker brewing,beer,19
,appalachian mountain cider variety pack,fruit juices,19
,mikes hard peach lemonade,malt beverages,19
,edge pugzilla ipa,beer,19
,ahora,spirits,19
,lechuza,beer,19
,pearl,spirits,19
,prairie,malt beverages,19
,honey bubbles,wine,19
,astra,beer,19
,wilsons orchard honeycrisp hard cider,fruit juices,19
,burlington beer co,beer,19
,cafe agave spiked cold brew,wine,19
,random row,beer,19
,brew bus hazelnut spread imperial milk porte,beer,19
,brogans,spirits,19
,liquid gravity,beer,19
,bostavan,wine,19
,chopo,wine,19
,bon viv,malt beverages,19
,or haganuz,wine,18
,long rocks,wine,18
,holly nog,wine,18
,avondale,beer,18
,mango mamma,wine,18
,alameda island brewing company,beer,18
,tri city brewing company,beer,18
,weselna,spirits,18
,drekker brewing cmpny and the brwng prjkt,beer,18
,grolsch lager,cooking  baking,18
,barone ricasoli,wine,18
,balcones mirador,spirits,18
,chosen foods,condiments,18
,rockwell beer co,beer,18
,pampers,dips  salsa,18
,alani nu,water,18
,bombastic,beer,18
,san mig light,beer,18
,sparkling ice,carbonated soft drinks,18
,pabst blue ribbon easy,beer,18
,rockport,beer,18
,keegan ales,beer,18
,southern grist,beer,18
,astra,malt beverages,18
,coca cola,coffee,18
,smoothie king,cooking  baking,18
,berenda road,wine,18
,tabor hill,wine,18
,sho chiku bai,spirits,18
,grove co,household supplies,18
,bryants,fruit juices,18
,pyrat,spirits,18
,armour,cheese,18
,czech rebel,beer,18
,hoop tea,malt beverages,18
,kunde family winery,wine,18
,buffalo chip,spirits,18
,freehouse brewery,beer,18
,schwartzhog,spirits,18
,smart care,wine,18
,batch one,spirits,18
,susto,spirits,18
,casali del barone,wine,18
,revlon,nail care,18
,black dog,spirits,18
,talbotts cider co,fruit juices,18
,stouffers,frozen meals,18
,mama bear,malt beverages,18
,whiskey row,spirits,18
,butter krust,bread,18
,barrel brothers brewing company,beer,18
,maraska sljivovica,spirits,18
,klamath basin brewing,beer,18
,30 30,spirits,18
,pickers porch picker,spirits,18
,dry dock,malt beverages,18
,casa monte,wine,18
,wild horse distillery,spirits,18
,park city trail mix pack,beer,18
,devins,spirits,18
,gran ponche mexicano,spirits,18
,tiger malt banks breweries ltd,malt beverages,18
,cool mountain,carbonated soft drinks,18
,on the rocks,spirits,18
,generation 1905,wine,18
,teeling blackpitts,spirits,18
,drnxmyth,drink mixes,18
,vina san juan,wine,18
,vineyard block estate 231,wine,18
,azunia,spirits,18
,fonseca,wine,18
,karma,water,18
,welchs,drink mixes,18
,abita,spirits,18
,leopold bros,spirits,18
,brau brothers brewing co light,beer,18
,wollersheim distillery,spirits,18
,francisco,bread,18
,annies homegrown grocery,frozen breakfast,18
,twelve 5s rebel hard coffe,malt beverages,18
,fat heads strange magic ipa,beer,18
,art of wine,wine,18
,ahold,dry pasta,18
,ola hard seltzer hawaiian ginger,hard seltzers sodas waters lemonades  teas,18
,citizen seltzer,hard seltzers sodas waters lemonades  teas,18
,minnesota,fruit juices,18
,hanging hills brewing company,beer,18
,sincerely,wine,18
,budweiser black crown,beer,18
,luce del sole,wine,18
,ahold,household supplies,18
,lunds and byerlys,beer,18
,purex,laundry supplies,18
,master of mixes,spirits,18
,becherovka,spirits,18
,mckenzies peach tea hard cider,fruit juices,18
,the calling,wine,18
,famous daves,drink mixes,18
,decordi,wine,18
,goose island and weller,beer,18
,simply limeade,fruit juices,18
,remedy,drink mixes,18
,basic,bath  body,18
,melvin experimental series the life hopquati,beer,18
,straightaway,wine,18
,valley view,bath  body,18
,ayate,spirits,18
,deep pocket cocktails,spirits,18
,bulleit 95 rye,spirits,18
,equilibrium brewery and toppling goliath,beer,18
,fremont brewing,beer,18
,sesh,malt beverages,18
,hop valley,beer,18
,uncorked by cosmopolitan,wine,18
,marques de gelida,wine,18
,pops famous brand,spirits,18
,leo hillinger,wine,18
,lewis and clark,wine,18
,voche,wine,18
,mill creek brewing co,beer,18
,menabrea birra,beer,18
,105w brew co,beer,18
,sandia hard cider sampler pack variety pack,fruit juices,18
,hana,wine,18
,sofos,wine,18
,evasion brewing,beer,18
,99 butterscotch,spirits,18
,coruba,spirits,18
,les bourgeois,wine,18
,beau joie,wine,18
,tycoga serenity,wine,18
,kroger,skin care,18
,seapine,beer,18
,chr heurich,beer,18
,sintonia,wine,18
,torresella,wine,18
,high liner,frozen seafood,18
,rank group,household supplies,18
,olney winery,wine,18
,grande,wine,18
,c k mondavi and family,wine,18
,omission,beer,18
,one with life,spirits,18
,jolie folle,wine,18
,febreze,decor,18
,porter and plot,wine,18
,toms of maine,bath  body,18
,del monte,fruit  vegetable snacks,18
,climax,spirits,18
,fetch fresh step,dog supplies,18
,crown valley winery,wine,18
,the black dog,spirits,18
,valdo,wine,18
,arrogant frog,wine,18
,tres coronas,wine,18
,chex mix,nuts  seeds,18
,adventurous stills,spirits,18
,tabali,wine,18
,bribon,spirits,18
,abc,spirits,18
,ferrand,spirits,18
,la,beer,17
,disznoko,wine,17
,ice harbor,beer,17
,ardbeg an oa,spirits,17
,scandi,wine,17
,inglenook,wine,17
,big horse vineyards,wine,17
,gem and bolt,spirits,17
,truly hard seltzer mix pack variety pack,hard seltzers sodas waters lemonades  teas,17
,llano,wine,17
,bivouac ciderworks,fruit juices,17
,arctic chill,malt beverages,17
,rice krispies,candy,17
,rosaluna,spirits,17
,agavero,spirits,17
,signature select,crackers,17
,arm  hammer baby,laundry supplies,17
,lenders bagels,bakery,17
,silver branch brewing co,beer,17
,groennfell meadery,beer,17
,tenuta santanna,wine,17
,lift bridge hard seltzer island time,malt beverages,17
,total home,bath  body,17
,be human,wine,17
,ararat,spirits,17
,sun sations,bath  body,17
,la nevera,wine,17
,honky tonk,beer,17
,false bay,wine,17
,brewery legitimus,beer,17
,clarksburg cider,fruit juices,17
,sandara,wine,17
,raised grain boxcar english amber ale,beer,17
,bakesale company,spirits,17
,scottys,spirits,17
,5x5,beer,17
,big stick,spirits,17
,dr pauly bergweiler,wine,17
,two docs,beer,17
,waterbrook,wine,17
